,,,,,,,,,,,ORDEN,SERVICIO
,,,,,,,,,,,,
ORIGEN,LINEA,DESTINO,TIPO/NEGOCIACION,DIAS LIBRES,VIGENCIA DESDE ,VIGENCIA HASTA,AGENTE,CONTRATO,TT,MONEDA,FLETE MARITIMO CARGA SUELTA,
BOSTON,SACO SHIPPING S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/01/2026,SACO SHIPPING S.A.                                                                                  ,,29-29,DOLAR,$ 208.00,
BRATISLAVA,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,07/01/2026,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.                                             ,,49-49,EUROS,€ 174.00,
BREMERHAVEN,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,07/01/2026,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.                                             ,,30-30,EUROS,€ 0.00,
BRISBANE,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/01/2026,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.                                                            ,,75-75,DOLAR,$ 210.00,
BRISBANE,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,10/01/2026,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.                                             ,,35-40,DOLAR,$ 58.00,
BRISBANE,SACO SHIPPING S.A.,GUAYAQUIL,AGENTE COLOADER,0,08/01/2026,31/01/2026,SACO SHIPPING S.A.                                                                                  ,,58-58,DOLAR,$ 78.00,
BUCHAREST,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,07/01/2026,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.                                             ,,49-49,EUROS,€ 148.00,
BUDAPEST,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,07/01/2026,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.                                             ,,50-50,EUROS,€ 188.00,
BUDAPEST,SACO SHIPPING S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/01/2026,SACO SHIPPING S.A.                                                                                  ,,36-36,EUROS,€ 95.00,
BUENAVENTURA,CHARTER LINK LOGISTICS ECUADOR S.A.S.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,10/01/2026,CHARTER LINK LOGISTICS ECUADOR S.A.S.                                                               ,,3,DOLAR,$ 25.00,
