,,,,,,,,,,,ORDEN,SERVICIO,,,
,,,,,,,,,,,5,,4,3,2
ORIGEN,LINEA,DESTINO,TIPO/NEGOCIACION,DIAS LIBRES,VIGENCIA DESDE ,VIGENCIA HASTA,AGENTE,CONTRATO,TT,MONEDA,20 GP,,40 GP,40 HC,40 NOR
BALBOA,KING OCEAN SERVICES LTD,GUAYAQUIL,DIRECTA,21,01/01/2026,31/01/2026,                                                                                                    ,KO  NO APLICA CONTRATO,3-4,DOLAR,$ 737.00,,"$ 1,062.00","$ 1,062.00",
BALBOA,KING OCEAN SERVICES LTD,GUAYAQUIL,DIRECTA,21,01/01/2026,31/01/2026,                                                                                                    ,KO  NO APLICA CONTRATO,3-4,DOLAR,,,,,"$ 1,197.00"
BALBOA,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,DIRECTA,14,01/01/2026,31/03/2026,                                                                                                    ,NAC CHASE GYE00058,3-4,DOLAR,,,,,$ 510.00
BALBOA,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,DIRECTA,15,01/01/2026,31/03/2026,                                                                                                    ,NAC CHASE GYE00058,3-4,DOLAR,$ 410.00,,$ 510.00,$ 510.00,
BALTIMORE,MEDITERRANEAN SHIPPING COMPANY,GUAYAQUIL,AGENTE PROPIO,14,01/01/2026,17/01/2026,GAVA USA INC                                                                                        ,GAVA,22-22,DOLAR,"$ 1,505.00",,"$ 1,880.00","$ 1,880.00",
BALTIMORE,MEDITERRANEAN SHIPPING COMPANY,GUAYAQUIL,AGENTE PROPIO,14,18/01/2026,31/01/2026,GAVA USA INC                                                                                        ,GAVA,22-22,DOLAR,"$ 1,505.00",,"$ 1,880.00","$ 1,880.00",
BANGKOK,COSCO SHIPPING LINES CO. LTD.,GUAYAQUIL,DIRECTA,16,01/01/2026,07/01/2026,                                                                                                    ,00074058,50-53,DOLAR,"$ 1,800.00",,"$ 1,900.00","$ 1,900.00",
BANGKOK,COSCO SHIPPING LINES CO. LTD.,GUAYAQUIL,DIRECTA,16,05/01/2026,14/01/2026,                                                                                                    ,00074058,50-53,DOLAR,"$ 1,500.00",,"$ 1,600.00","$ 1,600.00",
BANGKOK,COSCO SHIPPING LINES CO. LTD.,POSORJA,DIRECTA,16,01/01/2026,07/01/2026,                                                                                                    ,00074058,69-73,DOLAR,"$ 1,800.00",,"$ 1,900.00","$ 1,900.00",
BANGKOK,COSCO SHIPPING LINES CO. LTD.,POSORJA,DIRECTA,16,05/01/2026,14/01/2026,                                                                                                    ,00074058,69-73,DOLAR,"$ 1,500.00",,"$ 1,600.00","$ 1,600.00",
BANGKOK,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,AGENTE PROPIO,15,01/01/2026,07/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,HKGN03275A,64-71,DOLAR,"$ 1,265.00",,"$ 1,615.00","$ 1,615.00",
BANGKOK,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,AGENTE PROPIO,15,08/01/2026,14/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,HKGN03275A,64-71,DOLAR,"$ 1,265.00",,"$ 1,515.00","$ 1,515.00",
BANGKOK,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,DIRECTA,14,01/01/2026,07/01/2026,                                                                                                    ,GYE00176,52-55,DOLAR,,,,,"$ 1,215.00"
BANGKOK,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,DIRECTA,14,08/01/2026,14/01/2026,                                                                                                    ,GYE00176,52-55,DOLAR,,,,,"$ 1,115.00"
BANGKOK,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,DIRECTA,15,01/01/2026,14/01/2026,                                                                                                    ,GYE00176,57-59,DOLAR,"$ 1,250.00",,"$ 1,600.00","$ 1,600.00",
BANGKOK,Pacific International Lines,GUAYAQUIL,AGENTE PROPIO,21,15/01/2026,31/01/2026,RS LOGISTICS LIMITED                                                                                ,RSLOG,43-43,DOLAR,"$ 1,400.00",,"$ 1,550.00","$ 1,550.00",
BANGKOK,Wan Hai Lines Ltd.,GUAYAQUIL,AGENTE PROPIO,18,16/12/2025,10/01/2026,RS LOGISTICS LIMITED                                                                                ,RSLOG,52-52,DOLAR,"$ 1,500.00",,"$ 1,750.00","$ 1,750.00",
BANGKOK,Wan Hai Lines Ltd.,GUAYAQUIL,AGENTE PROPIO,18,08/01/2026,15/01/2026,RS LOGISTICS LIMITED                                                                                ,RSLOG,52-52,DOLAR,"$ 1,500.00",,"$ 1,750.00","$ 1,750.00",
BANGKOK,Wan Hai Lines Ltd.,GUAYAQUIL,DIRECTA,18,16/12/2025,10/01/2026,                                                                                                    ,ECUIO01 14632447,52-54,DOLAR,"$ 1,410.00",,"$ 1,660.00","$ 1,660.00",
